player_id,player_name,matches_played,total_minutes_played,total_passes,passes_per90,total_shot_assists,total_goal_assists,shot_assists_per90,goal_assists_per90
3570.0,Pierre-Emile Højbjerg,4,376.68,298,71.2,3,0,0.72,0.0
3664.0,Trent Alexander-Arnold,2,125.37,89,63.89,3,0,2.15,0.0
8621.0,Morten Hjulmand,3,250.5,215,77.25,4,0,1.44,0.0
7097.0,Christian Nørgaard,3,291.77,42,12.96,1,0,0.31,0.0
3500.0,Granit Xhaka,5,480.3,405,75.89,8,0,1.5,0.0
6983.0,Remo Freuler,5,367.82,235,57.5,1,2,0.24,0.49
11457.0,Vincent Sierro,3,289.2,16,4.98,0,0,0.0,0.0
5574.0,Toni Kroos,5,473.62,545,103.56,15,0,2.85,0.0
3493.0,Emre Can,4,342.07,72,18.94,1,0,0.26,0.0
10287.0,İlkay Gündoğan,5,407.88,168,37.07,1,1,0.22,0.22
9195.0,Robert Andrich,5,355.28,234,59.28,3,0,0.76,0.0
8966.0,Kai Havertz,3,197.93,82,37.29,1,0,0.45,0.0
5562.0,Thomas Müller,1,96.22,16,14.97,1,0,0.94,0.0
3089.0,Kevin De Bruyne,4,386.18,228,53.14,10,0,2.33,0.0
2954.0,Youri Tielemans,3,236.0,117,44.62,1,0,0.38,0.0
48347.0,Amadou Onana,4,386.18,235,54.77,1,0,0.23,0.0
8950.0,Orel Mangala,4,344.4,68,17.77,1,0,0.26,0.0
11000.0,Taras Stepanenko,2,160.12,74,41.59,0,0,0.0,0.0
16557.0,Ruslan Malinovskiy,2,192.28,27,12.64,2,0,0.94,0.0
28034.0,Lukáš Provod,3,243.75,88,32.49,2,0,0.74,0.0
4870.0,Tomáš Souček,3,297.58,88,26.61,5,0,1.51,0.0
78241.0,İsmail Yüksek,3,220.48,99,40.41,2,1,0.82,0.41
12293.0,Kaan Ayhan,3,239.33,108,40.61,3,1,1.13,0.38
22212.0,Orkun Kökçü,3,228.35,114,44.93,1,0,0.39,0.0
15896.0,Timi Elšnik,4,261.75,118,40.57,2,1,0.69,0.34
31968.0,Adam Gnezda Čerin,4,383.65,165,38.71,2,0,0.47,0.0
9929.0,Diogo José Teixeira da Silva,1,96.65,15,13.97,1,0,0.93,0.0
11416.0,Jon Gorenc Stankovič,3,289.58,20,6.22,0,0,0.0,0.0
6798.0,Stanislav Lobotka,2,201.67,106,47.31,1,0,0.45,0.0
11383.0,László Bénes,1,100.98,33,29.41,1,0,0.89,0.0
30179.0,Ivan Ilić,3,261.72,152,52.27,2,1,0.69,0.34
16489.0,Nemanja Gudelj,2,93.25,62,59.84,0,0,0.0,0.0
6687.0,Saša Lukić,3,215.23,150,62.72,0,0,0.0,0.0
5527.0,Thomas Delaney,3,266.22,36,12.17,1,0,0.34,0.0
7531.0,Qazim Laçi,1,70.7,21,26.73,0,0,0.0,0.0
24438.0,Ylber Ramadani,2,194.08,82,38.02,1,0,0.46,0.0
57303.0,Kristjan Asllani,3,293.8,193,59.12,8,0,2.45,0.0
143864.0,Fermin Lopez Marin,1,95.6,10,9.41,0,0,0.0,0.0
142800.0,Medon Berisha,1,95.6,9,8.47,0,0,0.0,0.0
21261.0,Jonas Older Wind,1,101.88,3,2.65,0,0,0.0,0.0
38909.0,Nicolò Fagioli,1,88.87,92,93.17,1,0,1.01,0.0
